speaker,text,dialogtype,quest_displayname,quest_name,questfile,speaker_unit,unitfile,raw_text
,"Kill 10 Warbeasts in the Temple Steppes, then return to the Bounty Board in the Estherian Enclave for your reward.",details,Bounty: Warbeasts!,a1z1-BountyBoard1,QUESTS/BOUNTYBOARD1.DAT,,,"Kill 10 |cFFA1D0FCWarbeasts|u in the |cFFA1D0FCTemple Steppes|u, then return to the |cFFA1D0FCBounty Board|u in the |cFFA1D0FCEstherian Enclave|u for your reward."
,- Kill [DEFEAT1COUNT]/[DEFEATCOUNT] Warbeasts in the Temple Steppes,huddetails,Bounty: Warbeasts!,a1z1-BountyBoard1,QUESTS/BOUNTYBOARD1.DAT,,,- Kill [DEFEAT1COUNT]/[DEFEATCOUNT] |cFFA1D0FCWarbeasts|u in the |cFFA1D0FCTemple Steppes|u
,- Return to Bounty Board in Estherian Enclave for reward,huddetails_complete,Bounty: Warbeasts!,a1z1-BountyBoard1,QUESTS/BOUNTYBOARD1.DAT,,,- Return to |cFFA1D0FCBounty Board|u in |cFFA1D0FCEstherian Enclave|u for reward
Trill-Bot 4000,"Greetings!  I am the great bard Trill.  You've heard of me of course, my talent is known throughout all of Veras.  From Torchlight to Redhaven they sing of my.. songs.
Torchlight... did something happen there?  I feel a bit...  Ah, nevermind.  I recognize this place!
The spiders called, the Sisters three, the old trunk yawning wide,
Through ancient halls, dark ancestry, they met their fates inside.
An apt verse, you'll agree.  I wrote it myself of course.",intro,The Three Sisters,global_trillbot_part2,QUESTS/GLOBAL_TRILLBOT_PART2.DAT,BARD,MEDIA/UNITS/MONSTERS/NPC/BARD.DAT,"Greetings!  I am the great bard |cFFFFBA00Trill|u.  You've heard of me of course, my talent is known throughout all of Veras.  From Torchlight to Redhaven they sing of my.. songs.\n\nTorchlight... did something happen there?  I feel a bit...  Ah, nevermind.  I recognize this place!\n\nThe spiders called, |cFFFFBA00the Sisters three|u, the |cFFFFBA00old trunk yawning wide|u,\nThrough ancient halls, dark ancestry, they met their fates inside.\n\nAn apt verse, you'll agree.  I wrote it myself of course."
Trill-Bot 4000,"The spiders called, the Sisters three, the old trunk yawning wide,
Through ancient halls, dark ancestry, they met their fates inside.
The rest of the song eludes me... Leniency please!  Of course such a lapse is unforgivable in a great bard such as myself, but I feel a bit.. off.
Still, even that bare fragment of verse can lead you to glory.  Go forth, brave warrior, and slay the mighty beasts!  Whatever they may be...",return,The Three Sisters,global_trillbot_part2,QUESTS/GLOBAL_TRILLBOT_PART2.DAT,BARD,MEDIA/UNITS/MONSTERS/NPC/BARD.DAT,"The spiders called, |cFFFFBA00the Sisters three|u, the |cFFFFBA00old trunk yawning wide|u,\nThrough ancient halls, dark ancestry, they met their fates inside.\n\nThe rest of the song eludes me... Leniency please!  Of course such a lapse is unforgivable in a great bard such as myself, but I feel a bit.. off.\n\nStill, even that bare fragment of verse can lead you to glory.  Go forth, brave warrior, and slay the mighty beasts!  Whatever they may be..."
,"The reconsituted Trillbot has presented you with a fragment of verse:
The spiders called, the sisters three, the old trunk yawning wide,
Through ancient halls, dark ancestry, they met their fates inside.
Perhaps you should investigate a tree trunk in an area full of spiders.",details,The Three Sisters,global_trillbot_part2,QUESTS/GLOBAL_TRILLBOT_PART2.DAT,,,"The reconsituted Trillbot has presented you with a fragment of verse:\n\nThe spiders called, the sisters three, the old trunk yawning wide,\nThrough ancient halls, dark ancestry, they met their fates inside.\n\nPerhaps you should investigate a tree trunk in an area full of spiders."
,"You've slain the three sisters, and you're pretty sure they were evil.  Check back with Trillbot.",details_complete,The Three Sisters,global_trillbot_part2,QUESTS/GLOBAL_TRILLBOT_PART2.DAT,,,"You've slain the three sisters, and you're pretty sure they were evil.  Check back with Trillbot."
Trill-Bot 4000,"You've slain the vile Sisters?  Excellent!  I shall write a new ending to my song.
The wicked three, dark powers found, and ruled a twisted land,
but I could see, one honor bound, and victory was at hand!
Ah it will be a splendid tale!  Please, accept this token of my undying gratitude.",complete,The Three Sisters,global_trillbot_part2,QUESTS/GLOBAL_TRILLBOT_PART2.DAT,BARD,MEDIA/UNITS/MONSTERS/NPC/BARD.DAT,"You've slain the vile |cFFFFBA00Sisters|u?  Excellent!  I shall write a new ending to my song.\n\nThe wicked three, dark powers found, and ruled a twisted land,\nbut I could see, one honor bound, and victory was at hand!\n\nAh it will be a splendid tale!  Please, accept this token of my undying gratitude."
,Defeat the Three Sisters in the Battlefield.,huddetails,The Three Sisters,global_trillbot_part2,QUESTS/GLOBAL_TRILLBOT_PART2.DAT,,,Defeat the |cFFFFBA00Three Sisters|u in the |cFFFFBA00Battlefield|u.
,Return to Trillbot at the Imperial Camp,huddetails_complete,The Three Sisters,global_trillbot_part2,QUESTS/GLOBAL_TRILLBOT_PART2.DAT,,,Return to |cFFFFBA00Trillbot|u at the |cFFFFBA00Imperial Camp|u
Retto the Mapper,"The legendary Mapworks is operational once more! From the Mapworks, you can navigate to all sorts of wondrous places! Many fine adventures surely await you within.",complete,Endless Adventure,global_MapWorks,QUESTS/GLOBAL_MAPWORKS.DAT,A4-MAPROOM_GUIDE,MEDIA/UNITS/MONSTERS/MERCHANT/A4-MAPROOM_GUIDE.DAT,"The legendary Mapworks is operational once more! From the Mapworks, you can navigate to all sorts of wondrous places! Many fine adventures surely await you within."
,You found a strange piece of metal that appears to be some part of a robot. It has '4000' carved into it.  You wonder just how many more pieces there could be.,details,Robot Parts,GLOBAL_TRILLBOT,QUESTS/GLOBAL_TRILLBOT.DAT,,,You found a strange piece of metal that appears to be some part of a robot. It has '4000' carved into it.  You wonder just how many more pieces there could be.
,You appear to have enough pieces to put it together. Now all you need is a scientist who can figure out just how it should be done.,details_complete,Robot Parts,GLOBAL_TRILLBOT,QUESTS/GLOBAL_TRILLBOT.DAT,,,You appear to have enough pieces to put it together. Now all you need is a scientist who can figure out just how it should be done.
Professor Stoker,"What do we have here?  Wow, this is a 4000 model! These are quite old - this one appears to have had a lot of work done to it. Not sure why it's in pieces - why don't we find out! Let me just put these together for you and we'll see what it has to say for itself.",complete,Robot Parts,GLOBAL_TRILLBOT,QUESTS/GLOBAL_TRILLBOT.DAT,A3-PROFESSORSTOKER,MEDIA/UNITS/MONSTERS/QUESTUNITS/A3-PROFESSORSTOKER.DAT,"What do we have here?  Wow, this is a 4000 model! These are quite old - this one appears to have had a lot of work done to it. Not sure why it's in pieces - why don't we find out! Let me just put these together for you and we'll see what it has to say for itself."
,- Search for more pieces of the robot.,huddetails,Robot Parts,GLOBAL_TRILLBOT,QUESTS/GLOBAL_TRILLBOT.DAT,,,- Search for more pieces of the robot.
,- Find a scientist who can piece together the robot.,huddetails_complete,Robot Parts,GLOBAL_TRILLBOT,QUESTS/GLOBAL_TRILLBOT.DAT,,,- Find a scientist who can piece together the robot.
Railman Charge,"If I'm really lucky, we didn't lose too much hydraulic pressure on the purge line.",passive,,A2-after-Search_for_mana_guardian,QUESTS/ACT2PASSIVES/A2-AFTER-SEARCH_FOR_MANA_GUARDIAN.DAT,RAILMAN_CHARGE,MEDIA/UNITS/MONSTERS/RAILMANCHARGE/RAILMAN_CHARGE.DAT,"If I'm really lucky, we didn't lose too much hydraulic pressure on the purge line."
Zeraphi,There's a rumor that the Ezrohir have defeated the Guardian of Mana.  Is this true?,passive,,A2-after-Search_for_mana_guardian,QUESTS/ACT2PASSIVES/A2-AFTER-SEARCH_FOR_MANA_GUARDIAN.DAT,A2-ZERAPHI-F1_TOWN,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-F1_TOWN.DAT,There's a rumor that the Ezrohir have defeated the Guardian of Mana.  Is this true?
Zeraphi,"Keep your eyes open for the Manticore, particularly around the Stygian Approach.  It likes to hunt the Wastes from the air.",passive,,A2-after-Search_for_mana_guardian,QUESTS/ACT2PASSIVES/A2-AFTER-SEARCH_FOR_MANA_GUARDIAN.DAT,A2-ZERAPHI-F2-TOWN,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-F2-TOWN.DAT,"Keep your eyes open for the Manticore, particularly around the Stygian Approach.  It likes to hunt the Wastes from the air."
Zeraphi Guard,Any sign of Ezrohir troop movement out there?  Are they mobilizing yet?,passive,,A2-after-Search_for_mana_guardian,QUESTS/ACT2PASSIVES/A2-AFTER-SEARCH_FOR_MANA_GUARDIAN.DAT,A2-ZERAPHI-GUARD-TOWN,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-GUARD-TOWN.DAT,Any sign of Ezrohir troop movement out there?  Are they mobilizing yet?
Zeraphi,I'm starting to make evacuation plans ... just in case.,passive,,A2-after-Search_for_mana_guardian,QUESTS/ACT2PASSIVES/A2-AFTER-SEARCH_FOR_MANA_GUARDIAN.DAT,A2-ZERAPHI-M3,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-M3.DAT,I'm starting to make evacuation plans ... just in case.
Zeraphi,I will lay down my life for my people ... if only to buy them time to flee.,passive,,A2-after-Search_for_mana_guardian,QUESTS/ACT2PASSIVES/A2-AFTER-SEARCH_FOR_MANA_GUARDIAN.DAT,A2-ZERAPHI-M4,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-M4.DAT,I will lay down my life for my people ... if only to buy them time to flee.
Guardian Of Air,"If the Guardian of Mana returns here, we might have a chance against the Alchemist.",passive,,A2-after-Search_for_mana_guardian,QUESTS/ACT2PASSIVES/A2-AFTER-SEARCH_FOR_MANA_GUARDIAN.DAT,GUARDIANOFAIR,MEDIA/UNITS/MONSTERS/NPC/GUARDIANOFAIR.DAT,"If the Guardian of Mana returns here, we might have a chance against the Alchemist."
Zeraphi Guard,"You've spoken to the Guardian of Air, about the Ossean Wastes?  You know the risks, then?  Alright.  Good luck out there.",passive,,A2-after-Search_for_mana_guardian,QUESTS/ACT2PASSIVES/A2-AFTER-SEARCH_FOR_MANA_GUARDIAN.DAT,A2-ZERAPHI-GUARD-TOWN-ZONE1-GATE,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-GUARD-TOWN-ZONE1-GATE.DAT,"You've spoken to the Guardian of Air, about the Ossean Wastes?  You know the risks, then?  Alright.  Good luck out there."
Zeraphi Guard,"The Guardian of Air has ordered the gate to the Empty Quarter sealed.  If the Guardian gives you leave, then I can allow you to pass.",passive,,A2-after-Search_for_mana_guardian,QUESTS/ACT2PASSIVES/A2-AFTER-SEARCH_FOR_MANA_GUARDIAN.DAT,A2-ZERAPHI-GUARD-TOWN-PASS1-GATE,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-GUARD-TOWN-PASS1-GATE.DAT,"The Guardian of Air has ordered the gate to the Empty Quarter sealed.  If the Guardian gives you leave, then I can allow you to pass."
Olwin the Betrayed,"It seems I have not yet earned my eternal rest.  Your part in my story is done, though, and, if my gratitude means anything to you, you have it.",passive,,A2-after-Search_for_mana_guardian,QUESTS/ACT2PASSIVES/A2-AFTER-SEARCH_FOR_MANA_GUARDIAN.DAT,A2-BOAT_GHOST,MEDIA/UNITS/MONSTERS/QUESTUNITS/ACT 2/A2-BOAT_GHOST.DAT,"It seems I have not yet earned my eternal rest.  Your part in my story is done, though, and, if my gratitude means anything to you, you have it."
Nerasis,"Just because this mana rift didn't pan out, that doesn't mean there's not another one on my surveys that might work much, much better!  It's just going to take a while to determine which mana rift is the best bet.",passive,,A2-after-Search_for_mana_guardian,QUESTS/ACT2PASSIVES/A2-AFTER-SEARCH_FOR_MANA_GUARDIAN.DAT,SURVEYOR,MEDIA/UNITS/MONSTERS/QUESTUNITS/SURVEYOR.DAT,"Just because this mana rift didn't pan out, that doesn't mean there's not another one on my surveys that might work much, much better!  It's just going to take a while to determine which mana rift is the best bet."
Dilawar,"Thank you again, my friend.  When we've recovered from our injuries, we'll retrieve our companions from the Undercurrents and return to help defend Zeryphesh.",passive,,A2-after-Search_for_mana_guardian,QUESTS/ACT2PASSIVES/A2-AFTER-SEARCH_FOR_MANA_GUARDIAN.DAT,A2-DILAWAR,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-DILAWAR.DAT,"Thank you again, my friend.  When we've recovered from our injuries, we'll retrieve our companions from the Undercurrents and return to help defend Zeryphesh."
Wounded Zeraphi,"You've given us a fighting chance, hero.  Thank you.",passive,,A2-after-Search_for_mana_guardian,QUESTS/ACT2PASSIVES/A2-AFTER-SEARCH_FOR_MANA_GUARDIAN.DAT,A2-ZERAPHI-COMMANDO,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-COMMANDO.DAT,"You've given us a fighting chance, hero.  Thank you."
Muzaffar,"Now that you have defeated the Ezrohir sorcerer in the tower, Zeryphesh is a great deal safer.  We still have to prepare ourselves for the coming siege ... but you've made that task a lot easier!",passive,,A2-after-Search_for_mana_guardian,QUESTS/ACT2PASSIVES/A2-AFTER-SEARCH_FOR_MANA_GUARDIAN.DAT,A2-MUZAFFAR,MEDIA/UNITS/MONSTERS/QUESTUNITS/ZONE2/A2-MUZAFFAR.DAT,"Now that you have defeated the Ezrohir sorcerer in the tower, Zeryphesh is a great deal safer.  We still have to prepare ourselves for the coming siege ... but you've made that task a lot easier!"
Railman Charge,We lost serious pressure in the primary Ember feed.  We've got an auxiliary line ... but that's no way to get around!,passive,,A2-after-Kill_manticore,QUESTS/ACT2PASSIVES/A2-AFTER-KILL_MANTICORE.DAT,RAILMAN_CHARGE,MEDIA/UNITS/MONSTERS/RAILMANCHARGE/RAILMAN_CHARGE.DAT,We lost serious pressure in the primary Ember feed.  We've got an auxiliary line ... but that's no way to get around!
Zeraphi,"Are the crew of the Embercraft safe out there, while they work on their vehicle?",passive,,A2-after-Kill_manticore,QUESTS/ACT2PASSIVES/A2-AFTER-KILL_MANTICORE.DAT,A2-ZERAPHI-F1_TOWN,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-F1_TOWN.DAT,"Are the crew of the Embercraft safe out there, while they work on their vehicle?"
Zeraphi,"You're actually going after the Manticore?  Best of luck, my friend.  That beast is said to be indestructible.",passive,,A2-after-Kill_manticore,QUESTS/ACT2PASSIVES/A2-AFTER-KILL_MANTICORE.DAT,A2-ZERAPHI-F2-TOWN,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-F2-TOWN.DAT,"You're actually going after the Manticore?  Best of luck, my friend.  That beast is said to be indestructible."
Zeraphi Guard,There's definitely Ezrohir activity in both the Forsaken Vaults and the Salt Barrens.,passive,,A2-after-Kill_manticore,QUESTS/ACT2PASSIVES/A2-AFTER-KILL_MANTICORE.DAT,A2-ZERAPHI-GUARD-TOWN,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-GUARD-TOWN.DAT,There's definitely Ezrohir activity in both the Forsaken Vaults and the Salt Barrens.
Zeraphi,"The Guardian of Air warns us that, should you fail to rescue the Guardian of Mana, we might wish to consider evacuating the city.",passive,,A2-after-Kill_manticore,QUESTS/ACT2PASSIVES/A2-AFTER-KILL_MANTICORE.DAT,A2-ZERAPHI-M3,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-M3.DAT,"The Guardian of Air warns us that, should you fail to rescue the Guardian of Mana, we might wish to consider evacuating the city."
Zeraphi,"Have you investigated the Cursed Cave of Fear?  The Ezrohir used it as a base of operations during the Ember Wars, and parts of it are still intact.",passive,,A2-after-Kill_manticore,QUESTS/ACT2PASSIVES/A2-AFTER-KILL_MANTICORE.DAT,A2-ZERAPHI-M4,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-M4.DAT,"Have you investigated the Cursed Cave of Fear?  The Ezrohir used it as a base of operations during the Ember Wars, and parts of it are still intact."
Guardian Of Air,The Alchemist's goal all along may have been to capture the Guardian of Mana.  But that does not explain why he has yet to mobilize the Ezrohir against me.,passive,,A2-after-Kill_manticore,QUESTS/ACT2PASSIVES/A2-AFTER-KILL_MANTICORE.DAT,GUARDIANOFAIR,MEDIA/UNITS/MONSTERS/NPC/GUARDIANOFAIR.DAT,The Alchemist's goal all along may have been to capture the Guardian of Mana.  But that does not explain why he has yet to mobilize the Ezrohir against me.
Zeraphi Guard,I heard the Sphinx sent you to kill the Manticore in the Stygian Aerie.  I'm guessing you were successful?,passive,,A2-after-Kill_manticore,QUESTS/ACT2PASSIVES/A2-AFTER-KILL_MANTICORE.DAT,A2-ZERAPHI-GUARD-TOWN-ZONE1-GATE,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-GUARD-TOWN-ZONE1-GATE.DAT,I heard the Sphinx sent you to kill the Manticore in the Stygian Aerie.  I'm guessing you were successful?
Zeraphi Guard,"The Empty Quarter sealed is still closed off; we're expecting the Ezrohir to attack from that direction.  If the Guardian gives you leave, then I can allow you to pass.",passive,,A2-after-Kill_manticore,QUESTS/ACT2PASSIVES/A2-AFTER-KILL_MANTICORE.DAT,A2-ZERAPHI-GUARD-TOWN-PASS1-GATE,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-GUARD-TOWN-PASS1-GATE.DAT,"The Empty Quarter sealed is still closed off; we're expecting the Ezrohir to attack from that direction.  If the Guardian gives you leave, then I can allow you to pass."
Olwin the Betrayed,"It seems I have not yet earned my eternal rest.  Your part in my story is done, though, and, if my gratitude means anything to you, you have it.",passive,,A2-after-Kill_manticore,QUESTS/ACT2PASSIVES/A2-AFTER-KILL_MANTICORE.DAT,A2-BOAT_GHOST,MEDIA/UNITS/MONSTERS/QUESTUNITS/ACT 2/A2-BOAT_GHOST.DAT,"It seems I have not yet earned my eternal rest.  Your part in my story is done, though, and, if my gratitude means anything to you, you have it."
Nerasis,"Just because this mana rift didn't pan out, that doesn't mean there's not another one on my surveys that might work much, much better!  It's just going to take a while to determine which mana rift is the best bet.",passive,,A2-after-Kill_manticore,QUESTS/ACT2PASSIVES/A2-AFTER-KILL_MANTICORE.DAT,SURVEYOR,MEDIA/UNITS/MONSTERS/QUESTUNITS/SURVEYOR.DAT,"Just because this mana rift didn't pan out, that doesn't mean there's not another one on my surveys that might work much, much better!  It's just going to take a while to determine which mana rift is the best bet."
Dilawar,"Thank you again, my friend.  When we've recovered from our injuries, we'll retrieve our companions from the Undercurrents and return to help defend Zeryphesh.",passive,,A2-after-Kill_manticore,QUESTS/ACT2PASSIVES/A2-AFTER-KILL_MANTICORE.DAT,A2-DILAWAR,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-DILAWAR.DAT,"Thank you again, my friend.  When we've recovered from our injuries, we'll retrieve our companions from the Undercurrents and return to help defend Zeryphesh."
Wounded Zeraphi,"You've given us a fighting chance, hero.  Thank you.",passive,,A2-after-Kill_manticore,QUESTS/ACT2PASSIVES/A2-AFTER-KILL_MANTICORE.DAT,A2-ZERAPHI-COMMANDO,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-COMMANDO.DAT,"You've given us a fighting chance, hero.  Thank you."
Zeraphi,"When the siege begins, will you be here to help defend the city?",passive,,A2-after-Kill_manticore,QUESTS/ACT2PASSIVES/A2-AFTER-KILL_MANTICORE.DAT,A2-ZERAPHI-M1-TOWN,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-M1-TOWN.DAT,"When the siege begins, will you be here to help defend the city?"
Railman Charge,Repairs are going a lot faster now ... but it's still going to take time.,passive,,A2-after-Djinni_second_task_complete,QUESTS/ACT2PASSIVES/A2-AFTER-DJINNI_SECOND_TASK_COMPLETE.DAT,RAILMAN_CHARGE,MEDIA/UNITS/MONSTERS/RAILMANCHARGE/RAILMAN_CHARGE.DAT,Repairs are going a lot faster now ... but it's still going to take time.
Zeraphi,"Is Fazeer Shah insane, or he is deliberately delaying you?  Is this some petty vengeance for Malik Vosh imprisoning him, so long ago?",passive,,A2-after-Djinni_second_task_complete,QUESTS/ACT2PASSIVES/A2-AFTER-DJINNI_SECOND_TASK_COMPLETE.DAT,A2-ZERAPHI-F1_TOWN,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-F1_TOWN.DAT,"Is Fazeer Shah insane, or he is deliberately delaying you?  Is this some petty vengeance for Malik Vosh imprisoning him, so long ago?"
Zeraphi,"The djinn aren't like humans, or Zeraphi, or even the Guardians.  Theirs is an ancient magic, that doesn't follow any understood rules of alchemy or elementalism.",passive,,A2-after-Djinni_second_task_complete,QUESTS/ACT2PASSIVES/A2-AFTER-DJINNI_SECOND_TASK_COMPLETE.DAT,A2-ZERAPHI-F2-TOWN,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-F2-TOWN.DAT,"The djinn aren't like humans, or Zeraphi, or even the Guardians.  Theirs is an ancient magic, that doesn't follow any understood rules of alchemy or elementalism."
Zeraphi Guard,"The Salt Barrens used to be a harbor town, until Fazeer Shah and Ezrek Khan started fighting.  Remember that, if you ever start thinking that either of those djinn are on your side.",passive,,A2-after-Djinni_second_task_complete,QUESTS/ACT2PASSIVES/A2-AFTER-DJINNI_SECOND_TASK_COMPLETE.DAT,A2-ZERAPHI-GUARD-TOWN,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-GUARD-TOWN.DAT,"The Salt Barrens used to be a harbor town, until Fazeer Shah and Ezrek Khan started fighting.  Remember that, if you ever start thinking that either of those djinn are on your side."
Zeraphi,You've been out there.  You've faced the Ezrohir ... seen the strength of their army.  Do you think we have a chance?,passive,,A2-after-Djinni_second_task_complete,QUESTS/ACT2PASSIVES/A2-AFTER-DJINNI_SECOND_TASK_COMPLETE.DAT,A2-ZERAPHI-M3,MEDIA/UNITS/MONSTERS/QUESTUNITS/ESTHERIANS/A2-ZERAPHI-M3.DAT,You've been out there.  You've faced the Ezrohir ... seen the strength of their army.  Do you think we have a chance?
