and000im_gft_amulet             Tevinter Chantry Amulet
dae010_arguing_male             Commoner
dae010_beggar_m1                Beggar
dae010_chase_guard              City Guardsman
dae010_chase_thief              Commoner
dae010_cityguard_f1             City Guardsman
dae010_cityguard_m1             City Guardsman
dae010_commoner_m1              Commoner
dae010_commoner_m2              Commoner
dae010_drunk_m1                 Drunk
dae010_lowlife_f1               Lowlife
dae010_lowlife_m1               Lowlife
dae010_lowlife_m2               Lowlife
dae010_lowtown_guard            City Guardsman
dae010_prostitute_f1            Companion
dae010_shopper_f1               Shopper
dae010_shopper_m1               Shopper
dae010_urchin_f1                Urchin
dae010_urchin_m1                Urchin
dae010_wandering_priest_f       Wandering Priest
dae011cr_bartender              Corff the Bartender
dae011cr_bartender_friend       Ser Shrillan
dae011cr_bar_wench              Norah
dae011cr_conspiracy_theor       Talkative Man
dae011cr_drunk_1                Patron
dae011cr_drunk_2                Drunk Patron
dae011cr_gossip_1               Gossip
dae011cr_gossip_2               Weary Patron
dae011cr_sabina                 Sabina
dae011cr_swindler               Flirtatious Woman
dae011ip_order_drink            Order Drink
dae020cr_ef_courtesan           Courtesan
dae020cr_ef_courtesan2          Courtesan
dae020cr_ef_courtesan3          Courtesan
dae020cr_ef_servant             Servant
dae020cr_em_servant             Servant
dae020cr_hf_noble1              Noblewoman
dae020cr_hf_noble2              Noblewoman
dae020cr_hf_noble_3             Noblewoman
dae020cr_hm_gossip3             Gossip
dae020cr_hm_gossip4             Gossip
dae020cr_hm_noble1              Nobleman
dae020cr_hm_noble2              Nobleman
dae020cr_hm_noble3              Nobleman
dae020cr_merch_armor            Olaf
dae020cr_merch_tailor           Jean Luc
dae020cr_merch_weapon           Korval
dae020ip_merch_armor            Olaf's Armory
dae020ip_merch_tailor           Robes by Jean Luc
dae020ip_merch_weapon           Korval's Blades
dae021cr_chantry_initiate       Chantry Initiate
dae021cr_female_worshipper      Worshipper
dae021cr_male_worshipper        Worshipper
dae021cr_sister_colinda         Sister Colinda
dae021cr_sister_lorena          Sister Lorena
dae021cr_sister_samea           Sister Samea
dae021_bureaucrat_1             Bureaucrat
dae021_bureaucrat_2             Bureaucrat
dae021_guardsman_garol          Guardsman Garol
dae021_keep_guard_1             Keep Guard
dae021_keep_guard_2             Keep Guard
dae021_keep_guard_3             Keep Guard
dae021_keep_guard_4             Keep Guard
dae021_keep_maid                Keep Maid
dae021_keep_noble               Nobleman
dae021_keep_noble2              Nobleman
dae021_keep_noble3              Nobleman
dae021_keep_noblewoman          Noblewoman
dae021_keep_noblewoman1         Noblewoman
dae021_keep_noblewoman3         Noblewoman
dae021_keep_servant             Keep Servant
dae021_keep_servant_male        Keep Servant
dae030cr_fem_elf_sta            Elf
dae030cr_fem_fer_urchin         Urchin
dae030cr_lowlife_fem            Lowlife
dae030cr_lowlife_male           Lowlife
dae030cr_male_elf               Elf
dae030cr_male_fereldan          Fereldan
dae030cr_male_fer_urchin        Urchin
dae030cr_sickly_fereldan_m      Fereldan
dae100cr_bartrand               Bartrand
dae100cr_bran                   Seneschal Bran
dae100cr_brothel_gamlen         Gamlen
dae100cr_gamlen                 Gamlen
dae100cr_mother                 Mother
dae100cr_solivitus              Solivitus
dae100cr_viscount               Viscount Dumar
dae100ip_at_to_aomcave          Runaways' Cavern
dae110ar_docks                  The Docks
dae110ar_docks_nt               The Docks (Night)
dae110ar_lowtown                Lowtown
dae110ar_lowtown_nt             Lowtown (Night)
dae110cr_elf_f_01               Elven Female
dae110cr_human_f_01             Woman
dae110cr_human_m_01             Man
dae110cr_qunari_m_01            Qunari
dae110cr_refugee_f_01           Refugee
dae110cr_refugee_m_01           Refugee
dae110ip_at_and_shop            Lirene's Fereldan Imports
dae110ip_at_darktown            Darktown
dae110ip_at_docks               Docks
dae110ip_at_gallows             Gallows Courtyard
dae110ip_at_gamlenhouse         Gamlen's House
dae110ip_at_hh_house            Arthuris's Private Dock
dae110ip_at_hightown            Hightown
dae110ip_at_lowtown             Lowtown
dae110ip_at_mrl_home            Merrill's Home
dae110ip_at_tavern              The Hanged Man
dae110ip_at_to_trench_a         Disused Passage
dae110ip_at_to_trench_b         Disused Passage
dae110ip_at_ws_warehouse        Arthuris's Private Dock
dae110ip_store4                 Shady Merchandise
dae110ip_store5                 Black Market Goods
dae110ip_store_access           Trinkets Emporium
dae110ip_store_armor            Armor Stand
dae110ip_store_tailor           Apparel Shop
dae110ip_store_weapons          Weaponsmithy
dae111ar_gamlens_house_nt       Gamlen's House
dae111ar_tavern                 The Hanged Man
dae111ar_tavern_nt              The Hanged Man
dae111ip_at_tavern_ltown        Lowtown
dae111ip_at_ws_lowtown          Lowtown
dae111ip_letter_desk            Writing Desk
dae120ar_hightown               Hightown
dae120ar_hightown_nt            Hightown (Night)
dae120cr_hf_guard_1             City Guardsman
dae120cr_hf_mage_1              Mage
dae120cr_hm_guard_1             City Guardsman
dae120cr_hm_guard_2             City Guardsman
dae120cr_hm_guard_3             City Guardsman
dae120cr_hm_mage_1              Mage
dae120ip_at_brothel             The Blooming Rose
dae120ip_at_chantry             Chantry
dae120ip_at_keep                Viscount's Keep
dae120ip_at_store1              Corthwaite's Boutique
dae120ip_chant_board_ht         Chanter's Board
dae120ip_chant_board_ht_nt      Chanter's Board
dae121ar_brothel_nt             The Blooming Rose
dae121ar_chantry                The Chantry
dae121ar_keep                   Viscount's Keep
dae121cr_sister_alema           Sister Alema
dae121ip_at_brothel_high        Hightown
dae121ip_at_cht_hightown        Hightown
dae121ip_at_keep_hightown       Hightown
dae121ip_office_door            Door
dae130ar_undercity_darktown     Darktown
dae130ip_at_darktown            Darktown
dae130ip_at_lowtown             Lowtown
dae130ip_at_to_sewers1          Dank Sewer
dae130ip_at_to_sewers2          Dank Sewer
dae130ip_at_undercity           Darktown
dae131ip_at_to_darktown         Darktown
dae131ip_at_to_darktown2        Darktown
dae140ar_bone_pit               The Bone Pit
dae150ar_sundermount            Sundermount
dae150ip_at_scaverns_a          Sundermount Passage
dae150ip_at_scaverns_b          Sundermount Passage
dae150ip_barrier                Barrier
dae150ip_barrier_pride          Barrier
dae150ip_loot_a                 Sack
dae150ip_rockslide              Rockslide
dae151ar_mount_caverns          Sundermount Caverns
dae151ip_at_sundermount_a       Sundermount Base
dae151ip_at_sundermount_b       Mountain Graveyard
dae160ar_wounded_coast          The Wounded Coast
dae170ar_gallows                Gallows Courtyard
dae170ip_armor_store            Armor Shop
dae170ip_at_lowtown             Lowtown
dae170ip_at_templarhall         Templar's Hall
dae170ip_mage_store             Mage Goods
dae170ip_weapon_store           Weapons Shop
dae200cr_bodahn                 Bodahn
dae200cr_bran                   Seneschal Bran
dae200cr_brothel_gamlen         Gamlen
dae200cr_captain_wright         Captain Wright
dae200cr_cullen                 Knight-Captain Cullen
dae200cr_gamlen                 Gamlen
dae200cr_meredith               Meredith
dae200cr_mother                 Mother
dae200cr_orsino                 Orsino
dae200cr_saemus                 Saemus
dae200cr_sandal                 Sandal
dae200cr_solivitus              Solivitus
dae200cr_viscount               Viscount Dumar
dae210ar_docks                  The Docks
dae210ar_docks_nt               The Docks (Night)
dae210ar_lowtown                Lowtown
dae210ar_lowtown_nt             Lowtown (Night)
dae210cr_elf_f_01               Elven Female
dae210cr_elf_m_01               Elven Man
dae210cr_gate_guard             Gate Guard
dae210cr_human_f_01             Woman
dae210cr_human_m_01             Man
dae210cr_qunari_guard           Qunari
dae210cr_qunari_m_01            Qunari
dae210ip_at_mrl_home            Merrill's Home
dae210ip_at_playerhouse         Hawke Estate
dae210ip_compound_gate          Qunari Compound
dae210ip_store4                 Shady Merchandise
dae210ip_store5                 Black Market Goods
dae210ip_store_access           Trinkets Emporium
dae210ip_store_armor            Armor Merchant
dae210ip_store_tailor           Apparel Shop
dae210ip_store_weapons          Weaponsmithy
dae211ar_gamlens_house_nt       Gamlen's House
dae211ar_tavern                 The Hanged Man
dae211ar_tavern_nt              The Hanged Man
dae211ip_at_gamlen_to_ltown     Lowtown
dae220ar_hightown               Hightown
dae220ar_hightown_nt            Hightown (Night)
dae220ip_at_chantry             Chantry
dae220ip_at_keep                Viscount's Keep
dae220ip_at_lowtown             Lowtown
dae220ip_at_player_home         Hawke Estate
dae220ip_at_player_home_nt      Hawke Estate
dae220ip_chant_board_ht         Chanter's Board
dae221ar_brothel_nt             The Blooming Rose
dae221ar_chantry                The Chantry
dae221ar_keep                   Viscount's Keep
dae221ar_player_home_nt         Hawke Estate
dae221cr_torelin                Torelin
dae221ip_at_brothel             The Blooming Rose
dae221ip_at_cht_htown           Hightown
dae221ip_at_keep_htown          Hightown
dae230ar_undercity_darktown     Darktown
dae230ip_at_to_sewers1          Dank Sewer
dae230ip_at_to_sewers2          Dank Sewer
dae231ip_at_to_darktown         Darktown
dae231ip_at_to_darktown2        Darktown
dae240ar_bone_pit               The Bone Pit
dae250ar_sundermount            Sundermount
dae250ip_at_scaverns_a          Sundermount Passage
dae250ip_at_scaverns_b          Sundermount Passage
dae251ar_mount_caverns          Sundermount Caverns
dae251ip_at_sundermount_a       Sundermount Base
dae251ip_at_sundermount_b       Mountain Graveyard
dae260ar_wounded_coast          The Wounded Coast
dae270ar_gallows                Gallows Courtyard
dae270ip_armor_store            Armor Shop
dae270ip_mage_store             Mage Goods
dae270ip_weapon_store           Weapon Shop
dae280ar_deep_roads             The Deep Roads
dae300cr_bodahn                 Bodahn
dae300cr_bran                   Seneschal Bran
dae300cr_brothel_gamlen         Gamlen
dae300cr_cullen                 Knight-Captain Cullen
dae300cr_gamlen                 Gamlen
dae300cr_meredith               Meredith
dae300cr_orsino                 Orsino
dae300cr_solivitus              Solivitus
dae300cr_vashothlead            Maraas
dae300cr_viscount               Viscount Dumar
dae310ar_docks                  The Docks
dae310ar_docks_nt               The Docks (Night)
dae310ar_lowtown                Lowtown
dae310ar_lowtown_nt             Lowtown (Night)
dae310cr_elf_f_01               Elven Female
dae310cr_elf_m_01               Elven Man
dae310cr_human_f_01             Woman
dae310cr_human_m_01             Man
dae310ip_at_bsc_warehouse       Warehouse
dae310ip_at_mrl_home            Merrill's Home
dae310ip_store4                 Shady Merchandise
dae310ip_store5                 Black Market Goods
dae310ip_store_access           Trinkets Emporium
dae310ip_store_armor            Armor Store
dae310ip_store_tailor           Apparel Shop
dae310ip_store_weapons          Weaponsmithy
dae311ar_gamlens_house_nt       Gamlen's House
dae311ar_tavern                 The Hanged Man
dae311ar_tavern_nt              The Hanged Man
dae311ip_at_lowtown             Lowtown
dae320ar_hightown               Hightown
dae320ar_hightown_nt            Hightown (Night)
dae320ip_at_brothel             The Blooming Rose
dae320ip_at_chantry             Chantry
dae320ip_at_keep                Viscount's Keep
dae320ip_at_player_home         Hawke Estate
dae320ip_at_player_home_nt      Hawke Estate
dae320ip_chant_board_ht         Chanter's Board
dae320ip_chant_board_ht_nt      Chanter's Board
dae321ar_brothel_nt             The Blooming Rose
dae321ar_chantry                The Chantry
dae321ar_keep                   Viscount's Keep
dae321ar_player_home_nt         Hawke Estate
dae321cr_petrice                Petrice
dae321ip_at_cht_htown           Hightown
dae321ip_at_keep_htown          Hightown
dae330ar_undercity_darktown     Darktown
dae340ar_bone_pit               The Bone Pit
dae350ar_sundermount            Sundermount
dae350ip_at_scaverns_a          Sundermount Passage
dae350ip_at_scaverns_b          Sundermount Passage
dae351ar_mount_caverns          Sundermount Caverns
dae351ip_at_sundermount_a       Sundermount Base
dae351ip_at_sundermount_b       Mountain Graveyard
dae360ar_wounded_coast          The Wounded Coast
dae370ar_gallows                Gallows Courtyard
dae370ip_armor_store            Armor Shop
dae370ip_at_templar             Templar Hall
dae370ip_mage_store             Mage Goods
dae370ip_weapon_store           Weapon Shop
dae380ar_deep_roads             The Deep Roads
dae421ar_player_home_nt         Hawke Estate
default_mage_female             Female Mage
default_mage_male               Male Mage
default_player                  Garrett
default_rogue_female            Female Rogue
default_rogue_male              Male Rogue
default_warrior_female          Female Warrior
default_warrior_male            Male Warrior
demo_mage                       Female Mage
demo_rogue                      Female Rogue
demo_warrior                    Female Warrior
dog321cr_closet_man             Man in the Closet
dre000cr_dougal                 Dougal Gavorn
dre000cr_dougal_thugs           Carta Thug
dre100cr_blighted_carver        Carver
dre100cr_bodahn                 Bodahn
dre100cr_dead_hurlock           Hurlock
dre100cr_dwarven_scout          Expedition Scout
dre100cr_frozen_ogre            Ogre
dre100cr_hireling_1             Expedition Hireling
dre100cr_hireling_2             Expedition Hireling
dre100cr_pickpocket             Pickpocket
dre100cr_sandal                 Sandal
dre100cr_stroud                 Stroud
dre100cr_warden_f               Grey Warden
dre100cr_warden_m               Grey Warden
dre180ar_deep_roads             The Deep Roads
dre180ar_keep_fake              Viscount's Keep
dre180ar_ruins_crypt            Ancient Crypt
dre180ar_ruins_entrance         Primeval Ruins
dre180cr_drake                  Dragon
dre180cr_profane_vampire        Rock Wraith Abomination
dre180cr_rock_wraith            Ancient Rock Wraith
dre180cr_stone_golem_statue     Stone Golem
dre180im_crypt_key              Crypt Key
dre180ip_crypt_exit             Return to the Surface
dre180ip_crypt_treasure         Crypt Treasure
dre180ip_deep_roads_chest_1     Chest
dre180ip_deep_roads_chest_2     Chest
dre180ip_deep_roads_chest_3     Chest
dre180ip_deep_roads_chest_4     Chest
dre180ip_invisible_door         Primeval Thaig
dre180ip_locked_tomb_door       Primeval Thaig
dre180ip_lyrium_idol            Lyrium Idol
dre180ip_primeval_chest_1       Chest
dre180ip_primeval_chest_2       Chest
dre180ip_primeval_chest_3       Chest
dre180ip_primeval_door          Primeval Thaig
dre180ip_to_primeval_crypt      Primeval Thaig
dre200ar_dougal_encounter       Back Alley
fake_im_arm_boo_hvy_champ       Boots of the Champion
fake_im_arm_boo_lgt_champ       Boots of the Champion
fake_im_arm_boo_med_champ       Boots of the Champion
fake_im_arm_cht_hvy_champ       Warplate of the Champion
fake_im_arm_cht_lgt_champ       Robes of the Champion
fake_im_arm_cht_med_champ       Arms of the Champion
fake_im_arm_glv_hvy_champ       Gauntlets of the Champion
fake_im_arm_glv_lgt_champ       Gloves of the Champion
fake_im_arm_glv_med_champ       Gloves of the Champion
fake_im_arm_hlm_hvy_champ       Helm of the Champion
fake_im_arm_hlm_lgt_champ       Hood of the Champion
fake_im_arm_hlm_med_champ       Helm of the Champion
fake_im_flw_sta_bethany_03      Staff of the Blighted Heartwood
fake_mage_female                Female Mage
fake_mage_male                  Male Mage
fake_rogue_female               Female Rogue
fake_rogue_male                 Male Rogue
fake_warrior_female             Female Warrior
fake_warrior_male               Male Warrior
fen000im_gft_book               A Slave's Life
fen000im_gft_sword              Blade of Mercy
fen000ip_book_container         Sack
fen000ip_sword_container        Chest
fen110ar_abandoned_house        Abandoned House
fen110cr_anso                   Anso the Contact
fen110cr_hunter                 Tevinter Hunter
fen110cr_hunter_1               Tevinter Hunter
fen110cr_hunter_captain         Tevinter Hunter Captain
fen110ip_smuggler_chest         Smuggler's Cargo
fen110ip_to_alienage            Lowtown
fen110ip_to_hideout             Abandoned House
fen120ip_mansion_chest_1        Chest
fen120ip_mansion_chest_2        Chest
fen120ip_to_base                Fenris's Mansion
fen120ip_to_mansion             Danarius's Manor
fen121ar_base                   Fenris's Mansion
fen121ar_mansion_nt             Danarius's Manor
fen121cr_shade                  Rage Demon
fen121im_magisters_key          Magister's Key
fen121ip_locked_door            Door
fen121ip_to_hightown            Hightown
fen200ar_ambush_exterior        Outside Kirkwall
fen200ar_slavers_exterior       Holding Caves
fen200ar_slaver_ambush2         Wrong Way
fen200cr_hadriana               Magister Hadriana
fen200cr_orana                  Orana
fen200cr_tevinter_ambusher      Tevinter Mercenary
fen200cr_tevinter_magister      Tevinter Magister
fen200cr_tev_hunter_1           Tevinter Hunter
fen200cr_tev_hunter_2           Tevinter Hunter
fen200cr_tev_slavermage_2       Tevinter Mage
fen200ip_exit_quest             World Map
fen200ip_second_ambush_exit     Holding Caves
fen200ip_slaver_chest_1         Chest
fen200ip_slaver_chest_2         Chest
fen200ip_slaver_chest_3         Chest
fen200ip_to_slaver_hideout      Abandoned Slaver Den
fen201ar_slavers_dungeon        Abandoned Slaver Den
fen201ip_blood_sacrafice        Blood Sacrifice
fen220ip_to_base                Fenris's Mansion
fen221ar_base                   Fenris's Mansion
fen310ip_to_hanged_man          The Hanged Man
fen311ar_hanged_man             The Hanged Man
fen311cr_danarius               Danarius
fen311cr_patron_1               Patron
fen311cr_patron_2               Patron
fen311cr_patron_3               Patron
fen311cr_praescia               Varania
fen320ip_to_base                Fenris's Mansion
fen321ar_base                   Fenris's Mansion
gen00fl_anders                  Anders
gen00fl_aveline                 Aveline
gen00fl_bethany                 Bethany
gen00fl_carver                  Carver
gen00fl_dog                     Dog
gen00fl_fenris                  Fenris
gen00fl_isabela                 Isabela
gen00fl_justice                 Justice
gen00fl_merrill                 Merrill
gen00fl_sebastian               Sebastian
gen00fl_varric                  Varric
gencr_abomination               Abomination
gencr_apostate                  Apostate Mage
gencr_arcane_horror             Arcane Horror
gencr_bloodmage                 Blood Mage
gencr_bloodmage_f               Blood Mage
gencr_bronto                    Bronto
gencr_carta_assassin            Carta Assassin
gencr_carta_thug                Carta Thug
gencr_circle_highmage           Enchanter
gencr_circle_mage               Circle Mage
gencr_circle_mage_f             Circle Mage
gencr_city_guard_2h             City Guardsman
gencr_city_guard_2h_f           City Guardsman
gencr_city_guard_archer         City Guardsman
gencr_city_guard_archer_f       City Guardsman
gencr_city_guard_commander      Guard Commander
gencr_city_guard_ws             City Guardsman
gencr_city_guard_ws_f           City Guardsman
gencr_corpse                    Corpse
gencr_corpse_archer             Skeleton Archer
gencr_corpse_arc_onground       Skeleton Archer
gencr_corpse_onground           Corpse
gencr_coterie_alchemist         Coterie Alchemist
gencr_coterie_archer            Thug
gencr_coterie_archer_f          Thug
gencr_coterie_member            Coterie Rogue
gencr_coterie_thug_2h           Thug
gencr_coterie_thug_2h_f         Thug
gencr_coterie_thug_2w           Thug
gencr_coterie_thug_2w_f         Thug
gencr_coterie_thug_ws           Thug
gencr_coterie_thug_ws_f         Thug
gencr_dalish_archer             Dalish Archer
gencr_dalish_archer_f           Dalish Archer
gencr_dalish_assassin           Dalish Assassin
gencr_dalish_warrior_2h         Dalish Warrior
gencr_dalish_warrior_2h_f       Dalish Warrior
gencr_dalish_warrior_2w_f       Dalish Warrior
gencr_dalish_warrior_ws         Dalish Warrior
gencr_dalish_warrior_ws_f       Dalish Warrior
gencr_darkspawn_emissary        Darkspawn Emissary
gencr_darkspawn_emissary_tr     Emissary Apprentice
gencr_darkspawn_hurlock         Hurlock
gencr_darkspawn_hurlock_rng     Hurlock Bolter
gencr_darkspawn_hurlock_shd     Hurlock Grunt
gencr_darkspawn_ogre            Ogre
gencr_darkspawn_ogre_deepr      Ogre
gencr_decoy                     Corpse
gencr_deepstalker               Deepstalker
gencr_desire_demon              Desire Demon
gencr_dragon                    Dragon
gencr_dragonling                Dragonling
gencr_gate_guardian             Gate Guardian
gencr_gate_guardian_statue      Gate Guardian
gencr_gate_slave_crouching      Slave Statue
gencr_gate_slave_hanging        Slave Statue
gencr_gate_slave_l1             Slave Statue
gencr_gate_slave_l2             Slave Statue
gencr_gate_slave_l3             Slave Statue
gencr_gate_slave_l4             Slave Statue
gencr_gate_slave_l5             Slave Statue
gencr_gate_slave_r1             Slave Statue
gencr_gate_slave_r2             Slave Statue
gencr_gate_slave_r3             Slave Statue
gencr_gate_slave_r4             Slave Statue
gencr_gate_slave_r5             Slave Statue
gencr_harvester                 Harvester
gencr_harvester_head            Harvester
gencr_high_dragon               High Dragon
gencr_high_dragon_flemeth       High Dragon
gencr_mabari                    Mabari
gencr_mature_dragon             Mature Dragon
gencr_mercenary_archer          Mercenary Archer
gencr_mercenary_archer_f        Mercenary Archer
gencr_mercenary_assassin        Mercenary Assassin
gencr_mercenary_commander       Mercenary Commander
gencr_mercenary_warrior_2h      Mercenary
gencr_mercenary_warrior_2hf     Mercenary
gencr_mercenary_warrior_2w      Mercenary
gencr_mercenary_warrior_2wf     Mercenary
gencr_mercenary_warrior_ws      Mercenary
gencr_mercenary_warrior_wsf     Mercenary
gencr_pride_demon               Pride Demon
gencr_profane_a                 Profane
gencr_profane_b                 Profane
